time,email,f,m,l,,school,how,class
1112023 17:31:29,student1@gmail.com,student,stud,1,student1@gmail.comstudent1,Castle High School,"High school counselor, Friend and Family Member, Current SITCTC Student, SICTC Information Meeting at High School",Health Science: Pre-Professional 
1112023 18:46:42,student2@gmail.com,student,stud,2,student2@gmail.comstudent2,North Posey High School,Friend and Family Member,Public Safety  Criminal Justice
1112023 18:20:06,student3@gmail.com,student,stud,3,student3@gmail.comstudent3,Castle High School,High school counselor,Computer ScienceSoftware Development
1112023 18:32:41,student4@gmail.com,student,stud,4,student4@gmail.comstudent4,Castle High School,High school counselor,Advanced Manufacturing Technology
1112023 17:45:09,student5@gmail.com,student,stud,5,student5@gmail.comstudent5,Harrison High School,High school counselor,Advanced Manufacturing Technology
1112023 17:14:35,student6@gmail.com,student,stud,6,student6@gmail.comstudent6,Boonville High School,"High school counselor, Friend and Family Member",Advanced Manufacturing Technology
1112023 17:14:35,student7@gmail.com,student,stud,7,student7@gmail.comstudent7,Boonville High School,"High school counselor, Friend and Family Member",Building Construction Technology
1112023 19:35:30,student8@gmail.com,student,stud,8,student8@gmail.comstudent8,Castle High School,"High school counselor, SICTC Website, SICTC Alumni, SICTC Information Meeting at High School",Advanced Manufacturing Technology
1112023 19:38:32,student9@gmail.com,student,stud,9,student9@gmail.comstudent9,Castle High School,"High school counselor, SICTC Website, SICTC Alumni, SICTC Information Meeting at High School",Advanced Manufacturing Technology
1112023 20:48:41,student10@gmail.com,student,stud,10,student10@gmail.comstudent10,Wood Memorial High School,"High school counselor, SICTC Information Meeting at High School",Advanced Manufacturing Technology
1112023 18:42:31,student11@gmail.com,student,stud,11,student11@gmail.comstudent11,North High School,SICTC Information Meeting at High School,Advanced Manufacturing Technology
1112023 18:19:52,student12@gmail.com,student,stud,12,student12@gmail.comstudent12,North High School,"Current SITCTC Student, SICTC Information Meeting at High School",Advanced Manufacturing Technology
1112023 18:56:04,student13@gmail.com,student,stud,13,student13@gmail.comstudent13,Reitz High School,"High school counselor, Current SITCTC Student",Advanced Manufacturing Technology
1112023 19:05:16,student14@gmail.com,student,stud,14,student14@gmail.comstudent14,Reitz High School,"High school counselor, Informational posters, Current SITCTC Student, SICTC Information Meeting at High School",Advanced Manufacturing Technology
1112023 18:17:53,student15@gmail.com,student,stud,15,student15@gmail.comstudent15,Reitz High School,Friend and Family Member,Advanced Manufacturing Technology
1112023 18:28:33,student16@gmail.com,student,stud,16,student16@gmail.comstudent16,Gibson Southern High School,High school counselor,Advanced Manufacturing Technology
1112023 18:03:20,student17@gmail.com,student,stud,17,student17@gmail.comstudent17,Evansville Christian School,Friend and Family Member,Advanced Manufacturing Technology
1112023 17:53:54,student18@gmail.com,student,stud,18,student18@gmail.comstudent18,North High School,"SICTC Website, SICTC Information Meeting at High School",Advanced Manufacturing Technology
1112023 17:47:03,student19@gmail.com,student,stud,19,student19@gmail.comstudent19,Harrison High School,High school counselor,Advanced Manufacturing Technology
1112023 18:46:29,student20@gmail.com,student,stud,20,student20@gmail.comstudent20,North High School,SICTC Information Meeting at High School,Advanced Manufacturing Technology
1112023 18:38:44,student21@gmail.com,student,stud,21,student21@gmail.comstudent21,Castle High School,High school counselor,Advanced Manufacturing Technology
