id,first_name,last_name,email,ip_address,imei,serial,latitude,longitude,altitude,speed,direction,bearing,address,city,state,zip,device name,phone,last login,password_attempts_limit,notes
6DX7GV8PW15,Tadeo,Fritche,tfritche0@amazonaws.com,116.48.73.30,3.54E+14,834503,-6.3965,105.9693,2719,167.43,south,153,235 Loeprich Alley,Atlanta,GA,,iOS 11,(910) 8145190,1/7/2021 4:19,6dabd4d87df0c1508f77ea15cf3775b849eaf6a1ab53da1a294e25065750a8dd,
2U66FH6UM44,Niki,Woodruffe,nwoodruffe1@xing.com,183.244.136.25,4.68E+14,360169,11.5825677,108.9912066,2920,197.53,south,70,0 Continental Pass,Houston,TX,,iOS 16,(283) 1549055,3/8/2020 6:03,e28d8e91a7a57f1148766a3848572624177b7fc96cf834be1319505bc569c827,
6HG5E56PT29,Baron,Ratnege,bratnege2@ca.gov,94.233.111.158,3.92E+14,914278,50.1424249,15.1188883,2416,34.51,south,360,50 Judy Terrace,Akron,OH,290 01,iOS 11,(525) 3657363,7/23/2022 20:47,599a89d5055a0ed3187b20fdb66102245290132c84ae9111cfd159c28eb5bc78,
9DD8C24DE20,Eve,Blizard,eblizard3@webmd.com,119.251.155.137,3.02E+14,167051,-41.172184,-71.437354,2167,125.14,west,234,8 Paget Junction,Athens,GA,8400,iOS 14,(770) 1898843,8/22/2020 6:57,30ca25cfdc309020526b316f7071650c65291426f7ac01f4e70791db4adb1cc0,
4MG0D43GQ43,Arda,Eden,aeden4@google.es,111.123.120.140,9.10E+14,639803,33.8941993,48.767033,4535,46.56,south,101,028 Clove Alley,Rochester,NY,,iOS 15,(762) 2162044,8/13/2013 9:40,15e42a605a966cd4c258c1df0e28ff87769710ad6f6d17568e197619adcbfca2,
9DC3AT8PF49,Virgina,Teideman,vteideman5@marketwatch.com,102.34.220.172,4.95E+14,148066,-17.6091383,-66.0255368,213,128.07,north,4,7 Nevada Road,Huntington,WV,,iOS 12,(565) 4332024,11/25/2021 22:34,db4ed9c850ca67ff8597cd6b1bfee9e0212d857ea3069810405d4cfabbf4c6be,
4PV9H61FG01,Bambi,Jakeway,bjakeway6@whitehouse.gov,82.221.10.151,1.21E+14,747398,-8.5767,123.4152,4340,134.87,north,335,9 Ramsey Road,Lexington,KY,,iOS 11,(207) 9926429,2/12/2024 16:21,a32ee8abedea6d60af89195e4ee77ba2ce2a5ece5489c20480b377b6b4b6b31e,
8WD5GP3TA67,Arri,Blueman,ablueman7@webnode.com,226.216.159.30,4.87E+14,696567,59.99333,30.36389,397,134.61,east,286,35171 Summerview Lane,Memphis,TN,658381,iOS 15,(657) 3223103,3/23/2000 15:53,e854a411847c7aad0cd15b98841f5887605056f613c18ac74ee9aad8630ce80b,
9M03RN5RM36,Callean,Eastwell,ceastwell8@cnn.com,146.26.187.50,6.94E+14,491590,51.4438248,41.9604082,3485,164.17,south,268,41 Roxbury Lane,åß∂ƒ©˙∆˚¬…æ,DC,397243,iOS 15,(643) 6255903,2/7/2024 5:22,989be3a61681ba7ff661e3e87cc192a2a60e684a27fb693197000c0792c44c54,
7AA2J34FU96,Sam,Holgan,sholgan9@oaic.gov.au,47.211.64.82,5.62E+14,227537,11.2533569,122.7339098,410,53.19,north,213,045 Westport Lane,Jackson,MS,1105,iOS 14,(715) 1460718,12/27/2011 21:38,f7ef2c3e148219b6c2c72e2df2ead3d88f6c17f0c198ab0d4a1a17518a59b18c,
3QY9G36TY08,Harcourt,Downe,hdownea@skyrock.com,165.252.80.73,5.09E+14,877369,3.3393833,-73.6300729,388,162.87,east,202,8 Jenifer Point,Corpus Christi,TX,504028,iOS 16,(971) 8293517,1/1/2007 12:07,ff4eaabc172e586d2aab51e9c7d92a00531660f968d76669aef55f34f9d9df73,"Well, be-bop-a-lula, she's my baby"
